activity,SubFPC1,SubFPC5,SubFPC8,SubFPC12,SubFPC16,SubFPC18,SubFPC28,SubFPC84,SubFPC85,SubFPC86,SubFPC96,SubFPC133,SubFPC151,SubFPC179,SubFPC181,SubFPC224,SubFPC274,SubFPC275,SubFPC295,SubFPC297,SubFPC300,SubFPC302,SubFPC303,SubFPC307
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,2,4,0,0,0,0,10
Inactive,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
Inactive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,10,2,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,1,7,2,0,6
Inactive,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,9,0,10,2,0,16
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,7,0,5,4,0,10
Inactive,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,1,7,0,4,2,0,7
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,5,3,0,8
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5,2,7,0,7,3,0,6
Inactive,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,6,0,4,6,0,8
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,3,0,3
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,6,1,1,1,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,2
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4,2,1,3,0,9
Inactive,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,2,0,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,2,4,0,0,0,0,10
Inactive,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
Inactive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,10,2,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,1,7,2,0,6
Inactive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,6,2,6,0,2,0,0,4
Inactive,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,2,13,0,10,6,2,14
Inactive,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,9,0,10,2,0,16
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,7,0,5,4,0,10
Inactive,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,1,7,0,4,2,0,7
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,5,3,0,8
Inactive,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,6,0,4,6,0,8
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,3,0,3
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,6,1,1,1,0,4
Inactive,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,2
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,2
Inactive,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,2,0,0
Inactive,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
Inactive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,10,2,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,1,7,2,0,6
Inactive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,6,2,6,0,2,0,0,4
Inactive,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,2,13,0,10,6,2,14
Inactive,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,9,0,10,2,0,16
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,7,0,5,4,0,10
Inactive,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,1,7,0,4,2,0,7
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,5,3,0,8
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5,2,7,0,7,3,0,6
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,3,0,3
Inactive,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,2
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,2
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4,2,1,3,0,9
Inactive,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
Inactive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,10,2,0,4
Inactive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,6,2,6,0,2,0,0,4
Inactive,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,9,0,10,2,0,16
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,7,0,5,4,0,10
Inactive,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,1,7,0,4,2,0,7
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,5,3,0,8
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5,2,7,0,7,3,0,6
Inactive,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,6,0,4,6,0,8
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,3,0,3
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,6,1,1,1,0,4
Inactive,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,2
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,2
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4,2,1,3,0,9
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,2,4,0,0,0,0,10
Inactive,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
Inactive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,10,2,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,1,7,2,0,6
Inactive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,6,2,6,0,2,0,0,4
Inactive,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,2,13,0,10,6,2,14
Inactive,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,9,0,10,2,0,16
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,7,0,5,4,0,10
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,5,3,0,8
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5,2,7,0,7,3,0,6
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,3,0,3
Inactive,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,2
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,2
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4,2,1,3,0,9
Inactive,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,2,0,0
Inactive,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
Inactive,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,9,0,10,2,0,16
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,7,0,5,4,0,10
Inactive,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,1,7,0,4,2,0,7
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,5,3,0,8
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5,2,7,0,7,3,0,6
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,3,0,3
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,6,1,1,1,0,4
Inactive,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,2
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,2
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4,2,1,3,0,9
Inactive,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,2,0,0
Inactive,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
Inactive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,10,2,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,1,7,2,0,6
Inactive,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,2,13,0,10,6,2,14
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,7,0,5,4,0,10
Inactive,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,1,7,0,4,2,0,7
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,5,3,0,8
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5,2,7,0,7,3,0,6
Inactive,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,6,0,4,6,0,8
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,3,0,3
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,6,1,1,1,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,2
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4,2,1,3,0,9
Inactive,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,2,0,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,2,4,0,0,0,0,10
Inactive,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
Inactive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,10,2,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,1,7,2,0,6
Inactive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,6,2,6,0,2,0,0,4
Inactive,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,2,13,0,10,6,2,14
Inactive,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,9,0,10,2,0,16
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,7,0,5,4,0,10
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,5,3,0,8
Inactive,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,6,0,4,6,0,8
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,3,0,3
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,6,1,1,1,0,4
Inactive,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,2
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4,2,1,3,0,9
Inactive,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,2,0,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,2,4,0,0,0,0,10
Inactive,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
Inactive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,10,2,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,1,7,2,0,6
Inactive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,6,2,6,0,2,0,0,4
Inactive,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,2,13,0,10,6,2,14
Inactive,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,9,0,10,2,0,16
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,7,0,5,4,0,10
Inactive,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,1,7,0,4,2,0,7
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,5,3,0,8
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5,2,7,0,7,3,0,6
Inactive,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,6,0,4,6,0,8
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,3,0,3
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,6,1,1,1,0,4
Inactive,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,2
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,2
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4,2,1,3,0,9
Inactive,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,2,0,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,2,4,0,0,0,0,10
Inactive,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
Inactive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,10,2,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,1,7,2,0,6
Inactive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,6,2,6,0,2,0,0,4
Inactive,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,2,13,0,10,6,2,14
Inactive,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,9,0,10,2,0,16
Inactive,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,1,7,0,4,2,0,7
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,5,3,0,8
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5,2,7,0,7,3,0,6
Inactive,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,6,0,4,6,0,8
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,3,0,3
Inactive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,6,1,1,1,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,2
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4,2,1,3,0,9
Inactive,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,2,0,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,2,4,0,0,0,0,10
Inactive,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2
Inactive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,10,2,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,1,7,2,0,6
Inactive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,6,2,6,0,2,0,0,4
Inactive,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,2,13,0,10,6,2,14
Inactive,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,9,0,10,2,0,16
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,7,0,5,4,0,10
Inactive,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,1,7,0,4,2,0,7
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,5,3,0,8
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5,2,7,0,7,3,0,6
Inactive,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,6,0,4,6,0,8
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,3,0,3
Inactive,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,2
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,2
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,4,2,1,3,0,9
Inactive,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,2,0,0
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,2,4,0,0,0,0,10
Inactive,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,10,2,0,4
Inactive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,8,1,7,2,0,6
Inactive,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,2,13,0,10,6,2,14
Inactive,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,9,0,10,2,0,16
Inactive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,7,0,5,4,0,10
Inactive,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6,1,7,0,4,2,0,7
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,3,0,5,3,0,8
Inactive,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,5,2,7,0,7,3,0,6
Inactive,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,6,0,4,6,0,8
Inactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,4,3,0,3
